	1_NA_NA_NA_NA_NA_NA_3	2_NA_NA_NA_NA_NA_NA_3	3_NA_NA_NA_NA_NA_NA_2	4_NA_NA_NA_NA_NA_NA_3	5_NA_NA_NA_NA_NA_NA_3	6_NA_NA_NA_NA_NA_NA_3	7_NA_NA_NA_NA_NA_NA_2	8_NA_NA_NA_NA_NA_NA_3	9_NA_NA_NA_NA_NA_NA_3	9_P1_0.33_NA_NA_NA_NA_3	10_NA_NA_NA_NA_NA_NA_2	10_P2_NA_NA_NA_NA_NA_3	10_P3_NA_NA_NA_NA_NA_2	10_P4_NA_NA_NA_NA_NA_2	11_NA_NA_NA_NA_NA_NA_3	11_P1_1.00_NA_NA_NA_NA_3	12_NA_NA_NA_NA_NA_NA_3	12_P5_NA_NA_NA_NA_NA_3	13_NA_NA_NA_NA_NA_NA_3	13_P6_NA_NA_NA_NA_NA_3	14_NA_NA_NA_NA_NA_NA_3	14_P6_NA_NA_NA_NA_NA_3	15_P7_NA_NA_NA_NA_NA_2	15_P8_NA_NA_NA_NA_NA_3	15_NA_NA_NA_NA_NA_NA_3	16_NA_NA_NA_NA_NA_NA_1	16_P9_1.00_NA_NA_NA_NA_1	17_NA_NA_NA_NA_NA_NA_3	17_P5_NA_NA_NA_NA_NA_2	18_NA_NA_NA_NA_NA_NA_3	18_P10_NA_NA_NA_NA_NA_3	19_NA_NA_NA_NA_NA_NA_3	19_P11_1.00_NA_NA_NA_NA_3	20_NA_NA_NA_NA_NA_NA_3	20_P12_1.00_NA_NA_NA_NA_3	21_NA_NA_NA_NA_NA_0.00_5	21_P6_NA_NA_NA_NA_0.33_5	21_P6_NA_NA_NA_NA_2.00_5	22_P13_NA_NA_NA_NA_0.00_5	22_P13_NA_NA_NA_NA_0.67_5	22_P13_NA_NA_NA_NA_2.00_5	23_NA_NA_NA_NA_NA_NA_3	23_NA_NA_NA_G1551_NA_NA_3	23_NA_NA_NA_G1997_NA_NA_3	23_NA_NA_NA_G1551,G1997_NA_NA_3	24_NA_NA_NA_NA_NA_NA_3	24_NA_NA_NA_NA_G529_NA_3	24_NA_NA_NA_NA_G2748_NA_3	24_NA_NA_NA_NA_G1167_NA_3	25_NA_NA_NA_NA_NA_NA_3	25_NA_NA_NA_G1551_NA_NA_3	25_NA_NA_NA_G1997_NA_NA_3	25_NA_NA_NA_G1551,G1997_NA_NA_3
G1688	8.9226667	8.7220667	8.7481500	9.2798000	9.3356333	9.5340333	8.7542500	9.2805667	9.8217667	9.7745667	9.5553000	9.3266667	9.3204500	8.8077500	10.4036667	9.7967667	8.0383333	8.2239000	5.9242333	4.3309667	9.1414000	9.4404333	9.8665500	9.7787000	9.9957667	9.8503000	9.1720000	9.3532000	9.3200000	9.9337000	9.7962333	9.8978333	10.1723333	10.1581667	9.5506667	9.5988400	9.5686800	9.4849000	9.7779800	9.6388800	9.4264200	8.3221000	8.3437333	8.4453333	8.4263000	9.4076667	9.2952667	9.2819000	9.2679333	9.0503333	9.1168333	8.8084667	8.8417000
G1689	7.6256000	6.0086667	7.5067000	7.1342333	7.9537667	8.1095333	8.0044000	7.6047000	7.5607000	7.0547333	8.5514000	8.8042333	8.3965500	7.8030500	7.8354667	8.1243667	7.3237667	7.2234333	4.4370667	5.5237000	6.5197667	6.4566333	9.1014500	8.9532000	8.6921667	8.4866000	8.4480000	7.2064333	8.3517500	8.6686333	8.6588667	8.5934000	8.0279667	8.0455333	7.3872000	7.9607000	7.8810800	7.6918600	7.8076400	8.0645000	7.6794400	6.3792333	6.3953333	6.3378000	6.4728667	7.2156000	7.1102667	7.2083333	7.4569667	9.0652667	8.4986333	8.9803000	8.8090000
G1690	3.5647000	3.8951667	5.1355000	4.0666333	3.5326333	3.8541667	5.1912500	3.8953333	3.4374000	3.7105000	3.2758500	4.2335000	3.4772500	3.7628500	4.3063667	4.5835667	3.3086000	3.0877000	4.5109000	6.2852000	3.0893667	5.0599000	6.2455000	6.2292333	6.5296000	5.9109000	6.2249000	3.2236000	2.8536000	6.1269667	6.1198000	6.1720667	6.2515000	6.0504333	10.4886667	3.4564600	3.5039400	3.4027200	3.4788800	3.5521400	3.5672600	3.2908667	3.3734000	3.3572667	3.3567333	3.9872333	3.9157333	3.7741667	3.8624667	3.8361333	3.6368000	3.7344333	3.5486667
G1691	9.6383000	5.7729000	8.7321000	10.2676667	7.9311667	8.3133333	9.6536500	8.6542667	10.4159667	8.6140667	11.9245000	12.0583333	11.8675000	10.8920000	9.7342000	8.2470667	11.5590000	11.3570000	5.5304000	7.1687333	8.5910667	6.6881333	8.6638500	8.8813000	8.5658333	7.7636000	8.0811000	7.1714333	7.4556500	7.8484333	7.8772667	7.5101667	7.4912000	7.8185000	10.3234667	8.3399600	8.1535400	8.2046400	8.6460800	8.0327000	8.5870800	7.8416667	7.8584000	7.8845667	7.9897333	10.2106667	10.2473333	10.3796667	9.1345667	9.5183000	9.0197000	9.8445667	9.2685667
G1692	8.6447667	9.3993000	8.2489000	8.7156667	8.7973333	8.6085667	8.3306000	8.6612000	9.6665667	9.7369333	10.5400000	10.2795667	10.9720000	11.6225000	8.8462333	8.2441667	7.7914667	7.8572667	6.2033000	5.7341333	8.2884000	5.6319000	7.5094000	7.1456667	6.9711000	8.0142000	7.1313000	10.4608667	10.2379000	7.9338333	7.6337333	7.8595667	7.6240333	7.7877000	7.1943333	8.8934200	8.5056000	8.0418600	9.0731400	7.8929600	8.4248200	5.9334333	6.0884333	6.1839667	6.0315000	8.7316000	8.7786000	8.7769333	8.6719333	8.7082667	8.3765000	8.4732000	8.7534667
G1693	8.5218667	7.6696000	7.9905000	8.1099000	8.8215667	8.8971000	7.6491500	8.6006667	8.5471667	9.0719667	8.8060500	8.8347000	9.0460500	8.3689000	10.2224333	10.8646667	9.2022333	9.5995333	5.7575000	4.8653667	6.6374000	5.7487000	9.6412500	8.4451333	8.0429000	10.7700000	7.9996000	8.7281000	9.2567500	9.3552000	7.9058667	8.6744000	6.9374000	8.8201333	10.6063333	8.3780600	8.1836000	8.2289200	8.1381600	7.8328400	9.4329000	7.0164000	6.9287333	6.9974333	6.9505333	8.0779000	8.0198667	8.0172333	8.4737667	8.0282667	7.5662667	8.1742333	7.8989333
G1694	5.6324333	6.4526000	6.1691000	6.5212333	6.3742333	6.5090667	6.4305500	6.3563667	6.7330000	6.5749333	6.3217500	6.4078000	6.1179000	6.5212000	6.6121333	6.8341667	6.2042333	6.2077000	5.3132000	5.1583000	8.8545000	8.3650333	6.7906500	7.3440667	7.1062000	6.6777000	7.1467000	7.3623333	6.8579500	6.8077000	6.8348333	6.7269000	6.7642000	6.8968000	5.8729667	6.1705000	6.2472600	6.3472600	6.3489800	6.9886400	6.4014200	6.8529667	6.9259333	6.9994333	6.8300667	6.6101333	6.4929000	6.4786333	6.6206667	6.1506333	5.8904000	6.2289000	5.9610000
G1695	11.0050000	11.3530000	10.3163500	11.2573333	11.4673333	11.0940000	9.4145000	11.4286667	10.4737333	10.8070000	11.9335000	12.0120000	12.1290000	12.1475000	9.6224333	9.4099333	11.1780000	10.6836667	5.1458667	6.1321000	8.6026000	5.6827667	8.4879000	9.3639667	8.6603000	10.1610000	10.6930000	11.1680000	11.1020000	9.9299000	9.6579000	10.3093333	10.1837333	9.9390667	9.5020333	9.5269000	9.2751400	9.0055600	9.8338800	9.2984200	9.7587400	9.9695333	9.6655667	9.9229667	9.8666000	11.2653333	11.4383333	11.3703333	11.3553333	11.3673333	11.3670000	11.4873333	11.4926667
G1696	8.7102667	9.0270333	9.8590000	8.4801000	9.3887000	8.9848000	9.9844000	9.1111333	8.9546333	9.2474000	9.2449500	8.8923667	9.2332000	9.2903000	9.3263667	9.6942000	8.6789000	8.7368000	7.3065333	5.7070333	9.3214333	8.0234333	9.2170500	9.7809333	10.0461000	10.1140000	9.8159000	9.4913333	8.8688000	10.0359667	10.0776667	10.3253333	10.3760000	9.9920000	8.6519333	9.3013000	9.3822000	9.0083800	8.9803400	8.9403400	9.0547000	8.2264333	8.5084667	8.3537667	8.7122667	8.3795000	8.5466333	8.4750000	8.8091000	8.2793000	8.5545667	8.2312667	8.4313667
G1697	9.4206333	8.8118333	9.2527500	9.1065000	8.7153667	8.7389333	9.3786000	8.9519667	9.1256667	7.8217000	9.4809000	9.2110667	9.5039500	9.0286000	8.1626000	7.7920333	10.1370000	9.9437333	4.6850667	5.5151333	7.6192000	6.6427333	9.1610500	8.3696333	8.1685333	8.9709000	7.8162000	9.3363000	9.5205500	8.9901000	8.9085333	9.0099333	9.0144667	8.7758000	8.4243333	9.2803400	9.1752200	9.3064200	9.5199000	8.7203200	8.3978400	6.2189333	6.1067000	6.1066667	5.9296667	9.0623000	9.0722667	9.1581667	8.9839667	8.1245667	8.1312333	8.2384000	8.0900333
G1698	5.3289000	5.3506333	6.3373500	6.6620667	7.3549667	7.4537000	6.1414500	7.0374333	6.6621000	6.4816333	6.3987000	5.9489000	6.2749500	5.2912500	6.1829333	6.4479333	6.5236000	6.6326333	5.5440333	6.5438000	3.5831333	7.0215333	3.3114000	3.7675667	3.5768667	3.0300000	3.9016000	6.1131333	6.2161000	3.3255000	3.3764000	3.4375667	3.5527667	3.5976000	2.8855667	6.1750600	6.3272600	6.5754800	6.2969600	7.6951800	7.2024200	6.7983000	6.6839000	6.8948333	6.5588667	6.6353000	6.6762333	6.7249000	6.9937333	6.3063333	6.3427667	6.4793000	6.4877333
G1699	10.9853333	10.5176667	10.8620000	10.7113333	10.5430000	10.5426667	10.9040000	10.5880000	10.4656667	10.0739667	10.2825000	10.1016667	10.1055000	9.7216500	10.8050000	10.7233333	9.8413333	10.2906667	3.3346667	3.7484333	8.8626667	6.7535667	10.7015000	10.7870000	11.1216667	10.7440000	10.3900000	9.7737333	10.2695000	10.8446667	10.8380000	10.8793333	11.0073333	10.7293333	9.6910000	10.5806000	10.5382000	10.8300000	10.6396000	10.2636000	10.9476000	11.9306667	12.0230000	11.9816667	12.0043333	10.6900000	10.7170000	10.7596667	10.7006667	11.0236667	11.1853333	10.8186667	11.0480000
G1700	4.1764000	5.0785333	3.5759500	3.9508000	3.6995667	3.7288000	3.4876000	3.8434000	3.8248333	4.8523000	3.8521000	3.8261333	3.4226000	4.8156500	4.9132000	5.1526667	3.2443333	2.9085000	5.7073000	5.7458333	3.8357333	7.3566333	3.9526000	4.2181000	4.0825000	3.9346000	4.3644000	3.4937000	2.8976500	3.9791333	3.8280667	3.9217333	4.0027000	3.9789000	2.7009667	2.7721200	2.8922000	2.9047000	3.0573400	3.1705400	3.2407400	3.2423667	3.3795667	3.3200333	3.2519000	4.0605667	3.8071667	3.7725000	3.8893667	4.2359667	3.6514000	3.9548667	3.6907333
G1701	6.0311000	5.9088000	7.1190000	6.6840333	8.2071667	8.1501667	7.0731500	7.6586000	7.3316333	7.3304333	6.6553500	6.9007333	6.7256500	6.3201500	6.5645333	7.3904667	6.8997333	6.8656667	6.4303667	7.8465000	7.1860000	8.4318333	6.9250000	7.4158667	7.8301333	6.9443000	7.3468000	7.6263333	7.0368000	7.0796667	7.0947333	7.1743333	6.8206000	7.0514000	6.0305333	7.6515800	7.6504600	7.6263200	7.4733600	7.5377800	7.4914600	7.1381333	7.2874000	7.2923667	7.1173333	6.6324667	6.6683000	6.7833000	7.3788667	6.0478333	5.9048000	6.3103667	5.9613000
G1702	6.1184333	7.2085333	7.6888500	6.8306333	7.9450000	8.0812667	7.9106000	7.6872333	8.7115667	8.7850000	8.0038000	8.0186667	8.0841000	7.9873000	8.3816000	8.4496333	7.9161667	8.2091000	6.2321000	5.2004667	7.1578000	8.2721000	7.6954500	7.9506000	8.4260000	7.1860000	7.9685000	7.6717333	7.6491000	7.4776333	7.4013667	7.4009333	7.2536667	7.1376000	7.4779667	8.1486600	8.1166000	8.1292200	7.9743600	9.1964600	8.8448000	5.8798000	6.2695667	6.2408333	6.1123000	6.9066333	6.9862667	6.9315333	7.3033667	7.0660000	7.3496000	7.2590667	7.3083000
G1703	3.5517333	3.6887333	3.0656500	3.4369000	3.2569333	3.4532333	3.2299000	3.2894000	3.1390000	3.5096333	3.0000000	3.1984333	3.1763500	3.3718000	3.3962667	3.8026667	3.2327333	3.3159333	3.1149000	4.2381333	4.0360000	4.3319667	3.1527500	3.2187000	3.3075333	2.7763000	3.2984000	3.1096000	3.2373500	3.0552000	2.9915333	3.0203333	2.9364333	2.9039333	2.9308333	3.5175400	3.4726800	3.4363000	3.5003200	5.0598800	3.4081000	3.7800667	3.9639667	4.1449667	4.1068667	3.2510667	3.3018333	3.2778000	3.2461000	3.0571333	3.0568000	3.1212333	3.2376000
G1704	8.5579000	8.2678667	9.4631500	9.4484333	9.3619333	9.4845000	9.4783000	9.4424333	9.2487333	9.4765333	8.7025500	8.5172333	8.6024500	8.3524500	9.0629667	9.3118000	8.9548667	9.1127000	5.2833000	6.8195333	8.5231333	7.4234333	8.9701500	9.3613333	9.4840333	9.1905000	9.0469000	8.6209000	9.3561000	9.2479000	9.2661000	9.3509667	9.6869000	9.4134667	11.2396667	9.2758400	9.3038800	9.2723400	9.2787800	8.9868400	9.0603200	9.5349333	9.6569333	9.6165333	9.5982333	9.4162667	9.4682667	9.4632000	9.4908333	8.9413000	8.9781333	8.8165000	8.8698000
G1705	8.1261333	8.5636667	9.1011500	8.1823667	10.2776667	11.3040000	9.2321500	9.7329000	5.7080333	4.8608667	4.4213000	4.4511000	3.5531500	4.1089500	5.3938333	5.3646000	10.3920000	10.1236000	5.5923000	4.4835000	7.5721000	7.6500000	9.2946000	8.8884000	7.0863333	8.0710000	6.1497000	5.7565333	6.6725000	8.4540667	8.1769000	8.0777667	7.6414667	7.8976000	7.2199000	8.1069000	9.0328200	8.9378600	7.0516200	8.4459400	9.8702800	6.0445333	6.4575000	6.3551333	6.3902667	8.1703333	8.3683333	8.4048333	8.5903000	5.6607333	6.2747333	5.4204333	6.1229667
G1706	4.4494000	9.7459667	5.0609000	4.9469000	7.5578000	8.1092667	4.5271000	7.0269333	5.5329667	7.1632667	5.9383500	5.2366000	5.4583500	5.5341500	6.7833333	6.4058333	4.9640333	5.4584333	4.3849333	3.8048000	7.6175333	6.9289667	5.1038500	5.0003667	4.9164000	4.7319000	5.2189000	6.4621667	5.8568500	4.9783667	4.9070333	4.9390667	5.2412000	5.2020000	7.4586667	5.6522600	5.4562600	4.8787000	5.3369200	4.7703200	5.4187400	6.0876667	6.1283000	6.1209333	6.0407667	5.1272667	5.1356667	5.0783667	5.8834000	5.4962333	6.0060000	4.9935667	5.7004000
G1707	7.4745333	7.6426667	5.8361500	6.9701333	7.1259333	5.3598000	7.7155500	6.6034000	6.4869000	6.3179667	4.9371500	5.8665667	6.8982500	5.5844500	6.3904000	5.9942667	6.9449667	5.6324000	6.8059667	5.5069667	6.4753000	7.1767000	7.3222500	6.5338333	6.7513000	7.1250000	6.8591000	6.6897333	7.0377500	7.9375667	6.2675000	6.4237333	6.6369333	7.0977000	6.4366000	6.4025000	6.7563200	7.0700800	7.2420800	7.7017600	6.4069200	5.9078333	5.7829333	6.3974000	7.1811667	6.5955000	6.1832333	5.9659333	8.0893000	5.8375000	7.7159667	6.4733333	6.6987000
G1708	8.0979333	7.8007667	8.3809500	8.2064333	8.6951667	8.6262667	8.4426500	8.5474000	7.7609333	7.9448333	7.5874000	7.6690000	7.4936500	7.0822000	8.8263333	8.8310000	9.1968000	9.0942000	5.4768000	5.3733333	8.4558667	7.0206667	8.4325500	9.4056000	9.6458333	8.7851000	9.9674000	7.6938667	7.7877000	8.6711333	9.0191667	8.9095667	9.2029333	9.3679000	8.9658000	8.1874200	8.2585400	8.4574600	8.0292800	8.9394000	8.7625400	8.3215667	8.6430333	8.5021667	8.6427000	8.2549000	8.3058667	8.2217667	8.4176667	7.4545000	7.4467333	7.4219333	7.4019000
G1709	7.8636000	7.9318000	8.6891000	8.7010333	8.1525667	8.6179333	9.2366500	7.9668667	6.7648667	6.1077667	6.4017500	5.9730000	5.9124000	5.4656000	6.3404667	5.9891333	7.6770667	8.0356000	5.5568667	5.9273667	8.1871000	8.1633333	8.7502000	9.2148000	9.7534333	8.4337000	8.8468000	6.8352333	7.7532500	8.7420000	8.5285667	8.6426667	8.3817333	8.2630333	8.8103000	7.9224800	8.5843200	9.5846600	6.6219800	7.2198600	9.0657600	7.2923000	7.2285667	7.3943000	7.2873333	8.6671667	8.6220333	8.6719667	8.5242333	6.8418000	6.7955333	6.3545333	6.7502333
G1710	10.8596667	10.5566667	11.2040000	10.6130000	10.5680000	10.4320000	11.3035000	10.6456667	10.5750000	9.6680000	10.8080000	10.4236667	10.9560000	10.4130000	10.0563667	9.6961000	11.3370000	11.3073333	5.7997667	5.9762000	8.3339333	6.2284000	10.5180000	10.2110000	9.9925667	10.6630000	9.9850000	10.1438333	10.4980000	10.6333333	10.6060000	10.7056667	10.5780000	10.4026667	9.8463667	10.9656000	10.9026000	11.0386000	10.8408000	10.3732000	10.3534000	8.6869333	8.8053000	8.8584000	8.9080000	10.5556667	10.5766667	10.6806667	10.6276667	9.6322333	9.7882667	9.7037333	9.6854000
G1711	4.9104667	5.8927000	5.6056500	6.7140667	5.8761667	6.2441667	5.8290500	5.8331667	7.8719333	7.6526333	6.6722500	6.6611333	6.7701000	5.9284500	5.9745000	6.5396667	5.9443000	6.6389000	5.8176000	6.6457000	7.6022000	8.1154000	6.2990500	10.9690000	8.9979333	6.1856000	11.7870000	7.4456333	7.3949500	6.1668333	5.8343667	5.9692333	5.4198333	6.2222667	8.3069000	9.7726600	9.4439800	9.5572000	9.7669600	13.0890000	11.9696000	6.3168000	6.5178333	6.5901667	6.3972333	6.7797000	6.3034000	6.4111000	6.1821667	6.1231667	5.9681000	6.4714000	5.8518000
G1712	9.4725000	7.8708333	10.8710000	10.3890000	10.0198667	10.0875333	11.0605000	10.0502667	9.0352000	8.4918333	9.1888000	9.2935667	9.5398500	9.0366000	7.8644333	8.0625667	9.6169000	9.6501000	4.9690333	4.6367667	7.5134333	7.2496667	10.1405000	10.4360000	10.5870000	10.3270000	9.8107000	8.9081333	9.7014500	10.2773333	10.2028667	10.2976667	10.3133333	10.4060000	8.4147000	9.4468000	9.7700200	9.9442600	9.3794600	10.3402000	9.4988200	7.8773333	7.9791000	8.2688000	8.2535333	10.3816667	10.3690000	10.4816667	10.3265667	8.7268667	9.1027333	8.7040333	8.8011000
G1713	7.3331667	6.9974333	9.7369500	8.2951000	11.0476667	11.1490000	9.9408000	10.1508333	7.2355333	9.1922667	6.6506000	6.6237333	6.5331500	5.8070500	7.7554667	9.2644000	8.8049667	8.9884333	7.5309667	5.7956000	7.4000333	8.4105000	6.8694500	6.3203667	7.2209667	6.4415000	6.2090000	7.6523333	7.9813000	6.9882333	7.1557333	7.2197667	6.8964667	6.3648000	7.6366000	8.0541000	8.5705400	8.8137600	6.9758200	8.3150600	9.9104000	7.6673333	7.7924333	7.9897667	7.9961667	8.4187333	8.6442667	8.3097333	9.6651000	6.9402667	7.2325000	6.4262333	7.0479667
G1714	4.2642667	3.9787667	4.8110000	6.0685000	5.4152000	5.3028333	5.0465500	5.7086000	5.6964000	6.9652000	4.2336500	4.5232000	4.4486000	4.6863000	5.1350000	6.1934333	6.6797667	6.8468667	4.9774333	5.0155000	5.9032667	7.1587000	4.7548000	5.3848667	5.7543667	4.5778000	5.2804000	4.8598000	4.4657000	4.6857667	4.9499000	4.6872667	4.6897333	4.9331333	4.3707333	4.5319000	4.6478400	4.2050800	4.8021200	7.3485000	5.4584800	5.5301667	5.9525333	5.6881333	5.5959333	5.8534333	5.9937000	5.9336667	5.9992667	5.2487000	4.7621000	5.5426000	4.8314667
G1715	3.2857000	4.2304333	4.9031000	4.6078333	5.0140667	5.2019000	4.5297500	4.8474667	4.1853333	3.8269333	4.5928000	4.2637333	3.9387500	3.6403000	4.6603667	4.5305333	6.2872667	6.5119667	3.3257000	5.0466000	2.9869333	4.3896333	3.9776500	4.1670333	4.0081000	3.4566000	3.7244000	4.8772000	4.7134000	3.6924667	3.5754000	3.5131667	3.3207000	3.4283000	2.5024333	5.4433200	5.7215000	6.6486400	5.3906200	5.6444000	6.4124800	6.1481000	6.1776333	5.9641333	5.9413000	4.5016333	4.2637667	4.6264000	4.6862000	4.4569667	4.5660333	4.3266000	4.2792000
G1716	2.3261000	2.2710333	3.5799500	3.0111333	2.4160333	2.4648000	3.0350000	2.2519667	2.3952000	3.1032667	2.3845500	3.0759667	3.1193000	2.1858500	2.2858667	3.1525667	2.2651000	2.8511667	2.2578000	2.9904667	2.2014667	2.3940000	2.3199000	2.4212000	2.2713000	3.0536000	2.0422000	2.1862667	2.2866000	2.3185333	2.2422667	2.1173333	2.3295333	2.2220333	3.0269000	2.2193600	3.1360800	2.3325200	2.2790000	2.2455600	2.3165000	2.0165667	2.4441000	2.1968000	3.2964667	4.0394000	2.2441333	3.1229000	2.2777000	3.1538333	2.2524333	2.4597667	2.2587333
G1717	6.4497333	8.1411333	7.3520500	6.9371333	7.9461000	7.5971667	6.6432000	7.6367333	6.8862333	6.8931000	7.7662500	6.4782000	4.0344000	7.2199000	5.6061000	7.3381667	5.5156667	7.1172333	7.8230667	6.4736000	7.2042333	7.8858000	6.7676000	7.1825333	6.1338667	7.0495000	7.7962000	7.5297667	6.6882000	8.2111333	6.2971333	6.5615333	7.0154000	7.0005000	6.9107333	6.4187200	5.7285400	7.6919000	7.0368400	7.0232600	6.1959200	8.0901333	6.0478333	7.5493333	5.6560333	7.6777667	6.8855333	7.0206667	6.8471333	7.3867667	7.6820667	7.5022333	6.3527000
G1718	2.4725333	2.4695333	2.5573500	2.8589667	2.6433000	2.8567333	2.5763500	2.6833333	2.9508333	2.6915333	2.4242500	2.2715333	2.1671000	2.5397000	3.7989333	3.5555667	2.0529667	2.0857667	5.3469000	4.5156000	5.3966000	2.8045000	2.8632500	2.8140000	2.9327333	2.7605000	2.7880000	1.9224667	1.7297500	2.7829333	2.7918000	2.7929000	2.5385000	2.5462000	2.0948333	2.3539000	2.2987800	2.3924200	2.6662800	2.5271600	2.7400800	2.1103667	2.1531000	2.1358333	1.9807333	2.6807333	2.9303000	2.9489000	2.6157667	3.0945000	2.7495333	2.8225333	3.0391667
G1719	5.8173333	7.5632000	5.8307000	7.8570000	7.6570000	7.6427333	4.4541500	7.7605333	7.9773000	6.1811667	4.5256000	4.5353333	4.4909500	3.7442500	7.5203000	6.2845667	5.4084333	5.4553333	4.6971667	3.3351333	5.2833333	3.6243000	7.3736000	7.1709333	6.4391667	7.1621000	6.0093000	5.8316000	5.1589500	7.1903333	6.9659667	7.0265000	6.6859333	6.4625333	9.6219667	8.1649800	8.1755000	8.2371000	8.5407600	7.8671000	7.8709000	7.3216333	7.0344667	7.2047667	7.0297000	7.8672667	7.6719667	7.8299333	7.7611333	7.9066667	7.8179667	8.1494667	7.9557333
G1720	8.7444333	7.8347333	9.2079000	8.8923667	9.2020667	9.3362333	9.0956000	8.9668333	9.0284667	8.1476000	8.2195000	8.3990000	8.3400500	7.8804500	8.3562333	8.8647000	8.4362000	8.6851000	6.8852000	5.0496333	8.3063667	7.3646333	8.8884500	9.2415000	9.8054000	9.6584000	9.4938000	8.3464000	7.9690500	9.4400333	9.5579000	9.6493000	9.5428667	10.0621333	8.3585333	8.1268200	8.3566600	8.4682800	8.3898000	8.8886400	9.1711800	8.5862000	8.6828333	8.6866333	8.6565667	9.0085000	8.8243333	8.8668333	8.8993000	8.0381333	8.1739333	8.5500000	8.2121667
G1721	5.5500667	4.7026000	7.7561500	6.6091667	6.2544000	6.6649667	6.9704500	6.1389333	7.2860333	5.8636000	6.2201500	5.3742667	6.1880500	5.7516000	6.2376667	6.0268333	6.2511333	6.0731333	4.6384333	6.1001667	3.0137333	5.0930333	2.9585500	3.1808000	3.2974667	2.6892000	3.2688000	5.7116333	5.6744000	3.0333333	3.2160333	2.9283000	3.0313667	2.9708667	2.5287000	7.4135000	7.4709800	7.6670400	7.2329200	6.6284000	7.1064000	5.9839667	5.6197667	5.7110000	5.8480333	6.5684333	6.4567000	6.6316667	6.5574667	6.5108000	6.5355667	6.6669333	6.5238333
G1722	7.9698000	7.3011333	8.0573500	8.0609000	8.3359000	8.4025333	8.3231000	8.1474333	8.0082667	7.7539667	7.3183500	7.4456000	7.1219500	6.8498500	8.9155000	8.9408000	8.1632333	8.2887333	5.1458000	7.1095000	8.6154333	7.4128667	8.4024000	8.2712667	8.2929000	7.9231000	8.3058000	7.4888333	7.6896000	8.1234000	8.1390000	8.0771667	7.9352333	8.0778000	9.5945000	8.3361200	8.3238400	8.4925400	8.3144400	8.3466200	8.4359200	7.2552667	6.9707000	7.1149333	7.1957667	7.9906667	8.1604667	8.1217000	8.2436667	7.3069333	7.2900667	7.2839000	7.2673333
G1723	8.3501000	6.0489333	8.4618500	8.9905667	8.3313333	8.3913333	8.8066500	8.5535000	9.0238667	9.1202667	8.0625500	8.1702333	8.2019000	7.3182000	8.4159667	8.2751000	8.6220000	8.4135000	4.7297333	4.0765333	4.8912333	5.4248000	8.7473000	8.9466000	9.7693667	8.8718000	9.2010000	7.3438667	7.7749500	8.7766000	8.6788333	8.8254667	9.2752333	8.9504000	9.1343000	8.9452200	8.8924800	9.0638400	8.8199200	9.2065000	8.8177600	9.7232000	9.5413333	9.6514667	9.7075333	9.0470333	9.0921000	9.1184667	8.7332333	9.0925667	9.0768000	9.1187000	9.1050333
G1724	7.4164000	8.5730000	7.3963000	6.5230667	8.8121333	8.8183333	7.5932000	8.2521333	6.8875333	6.7349333	7.6601500	6.8133667	7.5475000	6.9125000	6.8113333	6.9145333	9.3072667	8.9082000	4.5225667	5.7921333	8.8689000	7.5672000	7.6032500	8.3386000	9.2791000	8.0292000	8.7109000	7.6874667	7.7811000	7.8538333	8.0547333	7.9721667	7.8151667	8.0643667	7.2619667	8.6047400	8.7960200	8.4487800	7.7043800	9.8572600	8.7361800	5.6113333	5.8701333	5.8122000	6.0919000	6.4295333	6.4638667	6.5811667	7.0986000	6.1505333	6.2643000	6.2010333	5.9065333
G1725	4.7312667	5.6504667	4.8498500	4.7651000	4.4927000	4.5235333	4.7316500	4.5495333	4.6207000	5.6589333	4.8233500	4.5924667	3.7875000	5.3239500	5.7070333	6.0746667	3.4115333	3.0492667	5.9604000	6.6394667	8.1363667	8.9668667	5.2420500	5.6348000	5.7364000	5.1288000	5.3050000	3.7049667	3.1167000	5.2210000	5.2115333	5.0875333	5.1541000	4.9804000	4.0162000	3.7737600	3.9203400	3.8087600	4.0592200	4.3003800	4.2196400	7.3817667	7.0700333	7.3412667	7.1957667	4.8053667	4.6475667	4.6996667	4.7241667	6.7212000	6.8921333	6.7618000	7.0073667
G1726	7.2514000	8.4549667	8.0061500	8.0360000	9.1271000	7.3242333	8.2815000	8.1563667	8.4938000	7.7758667	6.6451000	7.3457000	7.1216500	6.8397000	9.4338000	8.3190000	7.4896333	6.9343667	8.0494333	7.8173667	7.7468000	8.5993000	7.5200000	7.9633000	8.3871000	6.1868000	7.9810000	6.6033000	9.4752500	8.0997667	6.7550667	8.8913000	7.4017333	7.3770667	7.9816333	7.2140800	7.5511000	6.8046000	7.7293800	8.0479200	7.3384000	7.9230000	8.2547667	7.4888667	7.3446667	8.4459667	7.2818667	7.3559333	7.0669000	8.2589000	7.1997667	7.6213667	7.7996667
